CourseID,CourseCode,CourseName,Credits,DepartmentID,InstructorID,PrerequisiteCourseID
1,CS101,Introduction to Programming,4,1,1,
2,CS201,Data Structures,4,1,1,1
3,CS301,Database Systems,3,1,2,2
4,CS401,Data Warehousing,3,1,2,3
5,MA101,College Algebra,3,2,3,
6,MA201,Calculus I,4,2,3,5
7,MA202,Calculus II,4,2,4,6
8,MA301,Linear Algebra,3,2,4,6
9,PH101,General Physics I,4,3,5,
10,PH201,General Physics II,4,3,5,9
11,PH301,Quantum Mechanics,3,3,6,10
12,BA101,Principles of Management,3,4,7,
13,BA201,Financial Accounting,3,4,7,12
14,BA301,Business Analytics,3,4,8,13
15,EN101,Composition I,3,5,9,
16,EN201,World Literature,3,5,9,15
17,EN301,Shakespeare Studies,3,5,10,16
18,BI101,General Biology,4,6,11,
19,BI201,Genetics,4,6,11,18
20,BI301,Molecular Biology,3,6,,19
