EnrollmentID,StudentID,CourseID,Semester,AcademicYear,Grade,GradePoints
1,1,1,Fall,2023,A,4.00
2,1,15,Fall,2023,B+,3.30
3,2,1,Fall,2023,B,3.00
4,2,15,Fall,2023,A-,3.70
5,3,1,Fall,2023,A-,3.70
6,3,15,Fall,2023,B,3.00
7,4,1,Fall,2023,C+,2.30
8,4,15,Fall,2023,B-,2.70
9,5,1,Fall,2023,B+,3.30
10,5,15,Fall,2023,A,4.00
11,6,1,Fall,2023,B,3.00
12,6,15,Fall,2023,C,2.00
13,7,1,Fall,2023,A,4.00
14,7,15,Fall,2023,A,4.00
15,8,1,Fall,2023,D,1.00
16,8,15,Fall,2023,C+,2.30
17,9,5,Fall,2023,A,4.00
18,9,15,Fall,2023,B+,3.30
19,10,5,Fall,2023,B,3.00
20,10,15,Fall,2023,B,3.00
21,11,5,Fall,2023,A-,3.70
22,11,15,Fall,2023,A-,3.70
23,12,5,Fall,2023,C,2.00
24,12,15,Fall,2023,C+,2.30
25,13,5,Fall,2023,B+,3.30
26,13,15,Fall,2023,B-,2.70
27,14,5,Fall,2023,A,4.00
28,14,15,Fall,2023,A-,3.70
29,15,5,Fall,2023,B-,2.70
30,15,15,Fall,2023,B,3.00
31,16,9,Fall,2023,A-,3.70
32,16,5,Fall,2023,B+,3.30
33,17,9,Fall,2023,B,3.00
34,17,5,Fall,2023,B,3.00
35,18,9,Fall,2023,A,4.00
36,18,5,Fall,2023,A,4.00
37,19,9,Fall,2023,C+,2.30
38,19,5,Fall,2023,C,2.00
39,20,9,Fall,2023,B+,3.30
40,20,5,Fall,2023,B-,2.70
41,21,9,Fall,2023,B,3.00
42,21,5,Fall,2023,A-,3.70
43,22,12,Fall,2023,A,4.00
44,22,15,Fall,2023,B+,3.30
45,23,12,Fall,2023,B,3.00
46,23,15,Fall,2023,B,3.00
47,24,12,Fall,2023,A-,3.70
48,24,15,Fall,2023,A,4.00
49,25,12,Fall,2023,C,2.00
50,25,15,Fall,2023,C+,2.30
51,26,12,Fall,2023,B+,3.30
52,27,12,Fall,2023,B-,2.70
53,28,12,Fall,2023,A,4.00
54,29,15,Fall,2023,A,4.00
55,30,15,Fall,2023,B+,3.30
56,31,15,Fall,2023,A-,3.70
57,32,15,Fall,2023,B,3.00
58,33,15,Fall,2023,C+,2.30
59,34,15,Fall,2023,B+,3.30
60,35,18,Fall,2023,A,4.00
61,36,18,Fall,2023,B,3.00
62,37,18,Fall,2023,A-,3.70
63,38,18,Fall,2023,C,2.00
64,39,18,Fall,2023,B+,3.30
65,40,18,Fall,2023,B-,2.70
66,1,2,Spring,2024,A,4.00
67,1,5,Spring,2024,A-,3.70
68,2,2,Spring,2024,B+,3.30
69,2,5,Spring,2024,B,3.00
70,3,2,Spring,2024,A,4.00
71,3,5,Spring,2024,B+,3.30
72,4,2,Spring,2024,C+,2.30
73,5,2,Spring,2024,B,3.00
74,5,5,Spring,2024,A,4.00
75,6,2,Spring,2024,B-,2.70
76,7,2,Spring,2024,A,4.00
77,7,5,Spring,2024,A,4.00
78,8,2,Spring,2024,D,1.00
79,9,6,Spring,2024,A-,3.70
80,10,6,Spring,2024,B,3.00
81,11,6,Spring,2024,A,4.00
82,12,6,Spring,2024,C+,2.30
83,13,6,Spring,2024,B+,3.30
84,14,6,Spring,2024,A,4.00
85,15,6,Spring,2024,C,2.00
86,16,10,Spring,2024,B+,3.30
87,17,10,Spring,2024,B,3.00
88,18,10,Spring,2024,A,4.00
89,19,10,Spring,2024,C,2.00
90,20,10,Spring,2024,B,3.00
91,21,10,Spring,2024,A-,3.70
92,22,13,Spring,2024,A,4.00
93,23,13,Spring,2024,B,3.00
94,24,13,Spring,2024,A-,3.70
95,25,13,Spring,2024,C+,2.30
96,26,13,Spring,2024,B+,3.30
97,27,13,Spring,2024,B-,2.70
98,28,13,Spring,2024,A,4.00
99,29,16,Spring,2024,A,4.00
100,30,16,Spring,2024,B+,3.30
101,31,16,Spring,2024,A-,3.70
102,32,16,Spring,2024,B,3.00
103,33,16,Spring,2024,C+,2.30
104,34,16,Spring,2024,B+,3.30
105,35,19,Spring,2024,A,4.00
106,36,19,Spring,2024,B,3.00
107,37,19,Spring,2024,A-,3.70
108,38,19,Spring,2024,C,2.00
109,39,19,Spring,2024,B+,3.30
110,40,19,Spring,2024,B-,2.70
111,29,5,Spring,2024,B,3.00
112,30,5,Spring,2024,C+,2.30
113,31,5,Spring,2024,B+,3.30
114,35,5,Spring,2024,A-,3.70
115,36,5,Spring,2024,B,3.00
116,16,15,Spring,2024,A,4.00
117,17,15,Spring,2024,B+,3.30
118,22,5,Spring,2024,B,3.00
119,23,5,Spring,2024,C+,2.30
120,24,5,Spring,2024,A-,3.70
121,1,3,Fall,2024,,
122,2,3,Fall,2024,,
123,3,3,Fall,2024,,
124,5,3,Fall,2024,,
125,7,3,Fall,2024,,
126,1,4,Fall,2024,,
127,3,4,Fall,2024,,
128,7,4,Fall,2024,,
129,9,7,Fall,2024,,
130,10,7,Fall,2024,,
131,11,7,Fall,2024,,
132,9,8,Fall,2024,,
133,11,8,Fall,2024,,
134,14,7,Fall,2024,,
135,16,11,Fall,2024,,
136,18,11,Fall,2024,,
137,21,11,Fall,2024,,
138,22,14,Fall,2024,,
139,24,14,Fall,2024,,
140,26,14,Fall,2024,,
141,28,14,Fall,2024,,
142,29,17,Fall,2024,,
143,31,17,Fall,2024,,
144,34,17,Fall,2024,,
145,35,20,Fall,2024,,
146,37,20,Fall,2024,,
147,39,20,Fall,2024,,
148,36,20,Fall,2024,,
149,40,20,Fall,2024,,
150,38,20,Fall,2024,,
