FeeID,StudentID,Semester,AcademicYear,AmountDue,AmountPaid,DueDate
1,1,Fall,2023,4800.00,4800.00,2023-09-15
2,2,Fall,2023,4800.00,4800.00,2023-09-15
3,3,Fall,2023,4800.00,3600.00,2023-09-15
4,4,Fall,2023,4800.00,4800.00,2023-09-15
5,5,Fall,2023,4800.00,2400.00,2023-09-15
6,6,Fall,2023,4800.00,4800.00,2023-09-15
7,7,Fall,2023,4800.00,4800.00,2023-09-15
8,8,Fall,2023,4800.00,1200.00,2023-09-15
9,9,Fall,2023,4200.00,4200.00,2023-09-15
10,10,Fall,2023,4200.00,4200.00,2023-09-15
11,11,Fall,2023,4200.00,4200.00,2023-09-15
12,12,Fall,2023,4200.00,2100.00,2023-09-15
13,13,Fall,2023,4200.00,4200.00,2023-09-15
14,14,Fall,2023,4200.00,4200.00,2023-09-15
15,15,Fall,2023,4200.00,3150.00,2023-09-15
16,16,Fall,2023,5100.00,5100.00,2023-09-15
17,17,Fall,2023,5100.00,5100.00,2023-09-15
18,18,Fall,2023,5100.00,5100.00,2023-09-15
19,19,Fall,2023,5100.00,2550.00,2023-09-15
20,20,Fall,2023,5100.00,5100.00,2023-09-15
21,21,Fall,2023,5100.00,5100.00,2023-09-15
22,22,Fall,2023,5800.00,5800.00,2023-09-15
23,23,Fall,2023,5800.00,5800.00,2023-09-15
24,24,Fall,2023,5800.00,4350.00,2023-09-15
25,25,Fall,2023,5800.00,5800.00,2023-09-15
26,26,Fall,2023,5800.00,5800.00,2023-09-15
27,27,Fall,2023,5800.00,0.00,2023-09-15
28,28,Fall,2023,5800.00,5800.00,2023-09-15
29,29,Fall,2023,3900.00,3900.00,2023-09-15
30,30,Fall,2023,3900.00,3900.00,2023-09-15
31,31,Fall,2023,3900.00,3900.00,2023-09-15
32,32,Fall,2023,3900.00,1950.00,2023-09-15
33,33,Fall,2023,3900.00,3900.00,2023-09-15
34,34,Fall,2023,3900.00,3900.00,2023-09-15
35,35,Fall,2023,5400.00,5400.00,2023-09-15
36,36,Fall,2023,5400.00,5400.00,2023-09-15
37,37,Fall,2023,5400.00,4050.00,2023-09-15
38,38,Fall,2023,5400.00,5400.00,2023-09-15
39,39,Fall,2023,5400.00,5400.00,2023-09-15
40,40,Fall,2023,5400.00,2700.00,2023-09-15
41,1,Spring,2024,4950.00,4950.00,2024-02-15
42,2,Spring,2024,4950.00,4950.00,2024-02-15
43,3,Spring,2024,4950.00,4950.00,2024-02-15
44,4,Spring,2024,4950.00,3300.00,2024-02-15
45,5,Spring,2024,4950.00,4950.00,2024-02-15
46,6,Spring,2024,4950.00,4950.00,2024-02-15
47,7,Spring,2024,4950.00,4950.00,2024-02-15
48,8,Spring,2024,4950.00,2475.00,2024-02-15
49,9,Spring,2024,4350.00,4350.00,2024-02-15
50,10,Spring,2024,4350.00,4350.00,2024-02-15
51,11,Spring,2024,4350.00,4350.00,2024-02-15
52,12,Spring,2024,4350.00,4350.00,2024-02-15
53,13,Spring,2024,4350.00,2900.00,2024-02-15
54,14,Spring,2024,4350.00,4350.00,2024-02-15
55,15,Spring,2024,4350.00,4350.00,2024-02-15
56,16,Spring,2024,5250.00,5250.00,2024-02-15
57,17,Spring,2024,5250.00,5250.00,2024-02-15
58,18,Spring,2024,5250.00,5250.00,2024-02-15
59,19,Spring,2024,5250.00,5250.00,2024-02-15
60,20,Spring,2024,5250.00,3500.00,2024-02-15
61,21,Spring,2024,5250.00,5250.00,2024-02-15
62,22,Spring,2024,5950.00,5950.00,2024-02-15
63,23,Spring,2024,5950.00,5950.00,2024-02-15
64,24,Spring,2024,5950.00,5950.00,2024-02-15
65,25,Spring,2024,5950.00,2975.00,2024-02-15
66,26,Spring,2024,5950.00,5950.00,2024-02-15
67,27,Spring,2024,5950.00,1500.00,2024-02-15
68,28,Spring,2024,5950.00,5950.00,2024-02-15
69,29,Spring,2024,4050.00,4050.00,2024-02-15
70,30,Spring,2024,4050.00,4050.00,2024-02-15
71,31,Spring,2024,4050.00,4050.00,2024-02-15
72,32,Spring,2024,4050.00,4050.00,2024-02-15
73,33,Spring,2024,4050.00,2025.00,2024-02-15
74,34,Spring,2024,4050.00,4050.00,2024-02-15
75,35,Spring,2024,5550.00,5550.00,2024-02-15
76,36,Spring,2024,5550.00,5550.00,2024-02-15
77,37,Spring,2024,5550.00,5550.00,2024-02-15
78,38,Spring,2024,5550.00,3700.00,2024-02-15
79,39,Spring,2024,5550.00,5550.00,2024-02-15
80,40,Spring,2024,5550.00,5550.00,2024-02-15
